variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,det_dense,76,0,1,24,4775,20,0.02,0.01
holes_respawn_to_start,det_dense,77,0,1,134,26775,128,0.0,0.0
holes_respawn_to_start,det_dense,78,0,1,19,3710,125,0.0,0.0
holes_respawn_to_start,det_dense,79,0,1,91,18045,10,0.02,0.01
holes_respawn_to_start,det_dense,80,0,1,36,7043,39,0.02,0.01
holes_respawn_to_start,det_dense,81,0,1,30,5826,37,0.02,0.02
holes_respawn_to_start,det_dense,82,0,1,136,27142,37,0.02,0.03
holes_respawn_to_start,det_dense,83,0,1,48,9552,53,0.0,0.03
holes_respawn_to_start,det_dense,84,0,1,214,42752,76,0.0,0.01
holes_respawn_to_start,det_dense,85,0,1,49,9684,34,0.02,0.02
holes_respawn_to_start,det_dense,86,0,1,12,2295,165,0.0,0.0
holes_respawn_to_start,det_dense,87,0,1,101,20190,17,0.02,0.01
holes_respawn_to_start,det_dense,88,0,1,121,24058,1,0.02,0.02
holes_respawn_to_start,det_dense,89,0,1,148,29514,303,0.0,0.0
holes_respawn_to_start,det_dense,90,0,1,210,41936,130,0.0,0.0
holes_respawn_to_start,det_dense,91,0,1,98,19547,17,0.04,0.02
holes_respawn_to_start,det_dense,92,0,1,151,30148,98,0.0,0.01
holes_respawn_to_start,det_dense,93,0,1,1,122,68,0.0,0.01
holes_respawn_to_start,det_dense,94,0,1,141,28120,25,0.02,0.02
holes_respawn_to_start,det_dense,95,0,1,37,7241,82,0.0,0.01
holes_respawn_to_start,det_dense,96,0,1,495,98973,137,0.0,0.0
holes_respawn_to_start,det_dense,97,0,1,230,45976,99,0.0,0.01
holes_respawn_to_start,det_dense,98,0,1,45,8960,49,0.02,0.02
holes_respawn_to_start,det_dense,99,0,1,413,82587,20,0.02,0.03
holes_respawn_to_start,stoch_sparse,0,1,0,66,13181,48,0.02,0.01
holes_respawn_to_start,stoch_sparse,1,1,0,81,16133,37,0.02,0.02
holes_respawn_to_start,stoch_sparse,2,1,0,53,10493,32,0.02,0.03
holes_respawn_to_start,stoch_sparse,3,1,0,180,35991,171,0.0,0.0
holes_respawn_to_start,stoch_sparse,4,1,0,22,4397,35,0.02,0.04
holes_respawn_to_start,stoch_sparse,5,1,0,40,7953,94,0.0,0.01
holes_respawn_to_start,stoch_sparse,6,1,0,138,27517,132,0.0,0.0
holes_respawn_to_start,stoch_sparse,7,1,0,21,4045,32,0.02,0.01
holes_respawn_to_start,stoch_sparse,8,1,0,39,7702,29,0.02,0.02
holes_respawn_to_start,stoch_sparse,9,1,0,20,3873,169,0.0,0.0
holes_respawn_to_start,stoch_sparse,10,1,0,48,9507,22,0.02,0.01
holes_respawn_to_start,stoch_sparse,11,1,0,25,4846,15,0.04,0.03
holes_respawn_to_start,stoch_sparse,12,1,0,126,25122,50,0.02,0.01
holes_respawn_to_start,stoch_sparse,13,1,0,6,1063,67,0.0,0.01
holes_respawn_to_start,stoch_sparse,14,1,0,102,20316,102,0.0,0.0
holes_respawn_to_start,stoch_sparse,15,1,0,130,25866,366,0.0,0.0
holes_respawn_to_start,stoch_sparse,16,1,0,139,27782,152,0.0,0.0
holes_respawn_to_start,stoch_sparse,17,1,0,445,88850,16,0.02,0.01
holes_respawn_to_start,stoch_sparse,18,1,0,39,7659,2,0.04,0.02
holes_respawn_to_start,stoch_sparse,19,1,0,167,33274,78,0.0,0.02
holes_respawn_to_start,stoch_sparse,20,1,0,54,10752,50,0.02,0.01
holes_respawn_to_start,stoch_sparse,21,1,0,235,46829,56,0.0,0.01
holes_respawn_to_start,stoch_sparse,22,1,0,47,9278,213,0.0,0.0
holes_respawn_to_start,stoch_sparse,23,1,0,185,36939,151,0.0,0.0
holes_respawn_to_start,stoch_sparse,24,1,0,27,5292,251,0.0,0.0
holes_respawn_to_start,stoch_sparse,25,1,0,212,42365,289,0.0,0.0
holes_respawn_to_start,stoch_sparse,26,1,0,12,2381,128,0.0,0.0
holes_respawn_to_start,stoch_sparse,27,1,0,35,6945,2,0.02,0.01
holes_respawn_to_start,stoch_sparse,28,1,0,346,69056,276,0.0,0.0
holes_respawn_to_start,stoch_sparse,29,1,0,1,134,21,0.02,0.02
holes_respawn_to_start,stoch_sparse,30,1,0,12,2284,37,0.02,0.01
holes_respawn_to_start,stoch_sparse,31,1,0,116,23134,221,0.0,0.0
holes_respawn_to_start,stoch_sparse,32,1,0,445,88991,236,0.0,0.0
holes_respawn_to_start,stoch_sparse,33,1,0,45,8915,187,0.0,0.0
holes_respawn_to_start,stoch_sparse,34,1,0,30,5914,181,0.0,0.0
holes_respawn_to_start,stoch_sparse,35,1,0,181,36185,6,0.02,0.01
holes_respawn_to_start,stoch_sparse,36,1,0,10,1872,393,0.0,0.0
holes_respawn_to_start,stoch_sparse,37,1,0,16,3127,143,0.0,0.0
holes_respawn_to_start,stoch_sparse,38,1,0,70,13855,57,0.0,0.01
holes_respawn_to_start,stoch_sparse,39,1,0,24,4705,194,0.0,0.0
holes_respawn_to_start,stoch_sparse,40,1,0,168,33527,119,0.0,0.0
holes_respawn_to_start,stoch_sparse,41,1,0,163,32466,184,0.0,0.0
holes_respawn_to_start,stoch_sparse,42,1,0,19,3781,78,0.0,0.02
holes_respawn_to_start,stoch_sparse,43,1,0,389,77792,134,0.0,0.0
holes_respawn_to_start,stoch_sparse,44,1,0,96,19038,140,0.0,0.0
holes_respawn_to_start,stoch_sparse,45,1,0,120,23900,146,0.0,0.0
holes_respawn_to_start,stoch_sparse,46,1,0,175,34979,131,0.0,0.0
holes_respawn_to_start,stoch_sparse,47,1,0,37,7318,185,0.0,0.0
holes_respawn_to_start,stoch_sparse,48,1,0,287,57258,11,0.04,0.02
holes_respawn_to_start,stoch_sparse,49,1,0,6,1140,167,0.0,0.0
holes_respawn_to_start,stoch_sparse,50,1,0,299,59789,26,0.02,0.03
holes_respawn_to_start,stoch_sparse,51,1,0,14,2718,8,0.02,0.03
