variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,stoch_sparse,63,1,0,3,595,13,0.24,0.3
holeless_control,stoch_sparse,64,1,0,2,271,4,0.34,0.4
holeless_control,stoch_sparse,65,1,0,3,559,2,0.36,0.4
holeless_control,stoch_sparse,66,1,0,1,56,4,0.38,0.42
holeless_control,stoch_sparse,67,1,0,1,38,5,0.34,0.4
holeless_control,stoch_sparse,68,1,0,4,730,2,0.48,0.38
holeless_control,stoch_sparse,69,1,0,2,275,2,0.3,0.4
holeless_control,stoch_sparse,70,1,0,2,389,3,0.48,0.46
holeless_control,stoch_sparse,71,1,0,1,58,2,0.4,0.36
holeless_control,stoch_sparse,72,1,0,4,673,1,0.4,0.39
holeless_control,stoch_sparse,73,1,0,2,397,1,0.38,0.39
holeless_control,stoch_sparse,74,1,0,6,1138,1,0.32,0.33
holeless_control,stoch_sparse,75,1,0,3,444,1,0.48,0.5
holeless_control,stoch_sparse,76,1,0,1,82,1,0.42,0.42
holeless_control,stoch_sparse,77,1,0,1,132,2,0.4,0.34
holeless_control,stoch_sparse,78,1,0,4,627,1,0.48,0.45
holeless_control,stoch_sparse,79,1,0,3,547,2,0.52,0.45
holeless_control,stoch_sparse,80,1,0,2,347,6,0.32,0.31
holeless_control,stoch_sparse,81,1,0,3,555,1,0.5,0.43
holeless_control,stoch_sparse,82,1,0,1,93,2,0.4,0.36
holeless_control,stoch_sparse,83,1,0,1,61,2,0.28,0.36
holeless_control,stoch_sparse,84,1,0,1,46,2,0.42,0.45
holeless_control,stoch_sparse,85,1,0,1,77,3,0.34,0.39
holeless_control,stoch_sparse,86,1,0,2,374,1,0.34,0.3
holeless_control,stoch_sparse,87,1,0,1,98,4,0.36,0.36
holeless_control,stoch_sparse,88,1,0,1,147,2,0.38,0.41
holeless_control,stoch_sparse,89,1,0,1,121,6,0.26,0.35
